# Languages settled by hand. Key = author|title|year, each part folded to lower case letters and
# digits (ia_lookup.norm), so it survives re-ordering, re-casing and a rebuilt database.
# key<TAB>language<TAB>title (the title is only there to read by)
hearn lafcadio|phantasien berechtigte ubertragung von else von hollander|1921	German	Phantasien. Berechtigte Übertragung von Else von Hollander.
hernando francisco|gracia 6 la cristiana del japon leyenda historica biblioteca del hogar|1906	Spanish	Gracia 6 la Cristiana del Japon. Leyenda, histórica, bibliot
hesse wartegg ernst von|china und japan erlebnisse studien beobachtungen von ernst von hesse wartegg|1900	German	China und Japan; Erlebnisse, Studien, Beobachtungen, von Ern
heyden van der jt author|vodasbuk volapukik yapanik fa dr van der heyden e hayato sasaki|1889	Volapük	Vödasbuk Volapükik-Yapänik 世界語辭林 fa Dr. Van der Heyden e Hay
hibino yutaka|nippon shindo ron or the national ideals of the japanese people tr with an introduction by a p mckenzie|1928	English	Nippon shindo ron, or the national ideals of the Japanese pe
hitchcock alfred m|over japan way|1917	English	Over Japan way.
hochberg count fritz|an eastern voyage a journal of the travels of count fritz hochberg through the british empire in the east and japan|1910	English	An Eastern voyage; a journal of the travels of Count Fritz H
hoffmann johann joseph|winkelgesprekken in het hollandsch engelsch en japansch|1861	Dutch	Winkelgesprekken in het Hollandsch, Engelsch en Japansch.
holland clive|mousume|1902	French	Mousumé.
horiguchi daigaku|tanka poesias japonesas tr por munio nisay|1925	Spanish	Tanka; poesias japonesas. Tr. por Munio Nisay.
humbertclaude pierre|recherches sur deus catalogues de macao 1616 1632|1942 43	French	Recherches sur deus catalogues de Macao (1616 & 1632).
hyakunin isshu|la centuria poetica hyaku nin isshu tr by marcello muccioli|1949	Italian	La centuria poetica (Hyaku-nin-isshu). Tr. by Marcello Mucci
ijima isao|nippon no tori mokuroku or list of the birds of japan|1891	English	Nippon no tori mokuroku, or list of the birds of Japan.
ikeda s|weltbetrachtungen eines japaners|1923	German	Weltbetrachtungen eines Japaners.
imaoka juichiro|uj nippon tobb szez keppel es mumelleklettel|1929	Hungarian	Új Nippon. Több széz Képpel és mūmelléklettel.
inagaki m|language text of nippon|1938	English	Language text of Nippon.
inoue tetsujiro|oszirozsa japan eposz harom enekben irta i t es meg nehany kisebb japan lirai koltemeny florenz karoly forditotta nyeviczkey zoltan|1907	Hungarian	Oszirózsa. Japán Eposz Három Enekben irta I. T., és még néhá
instituto nacional de estudos pedagogicos|intercambio de trabalhos escolares catalogo da exposicao de trabalhos escolares japonese enviados as escolas brasilleiras por inciativa da assocciacao nipo brasileira de kobe|1939	Portuguese	Intercâmbio de trabalhos escolares. Catalogo da exposição de
internationale hygiene ausstellung|altjapanische und altchinesische arznei und volksmittel|1911	German	Altjapanische und altchinesische Arznei- und Volksmittel.
ishibashi t and dumoulin h trs|yuiitsu shinto myobo yoshu lehrabriss der yuiitsu shinto|1940	German	Yuiitsu-Shintō Myōbō-yōshū. Lehrabriss der Yuiitsu-Shintō
ivan vitez nagy|japan kozoktatasugye the national education of japan|1937	Hungarian	Japán közoktatásügye (The national education of Japan).
izumi shikibu|izumi shikibu nikki diaries of court ladies of old japan tr by annie shepley omori and kochi doi|1920	English	Izumi Shikibu nikki: Diaries of court ladies of old Japan. T
izumi shikibu|izumi shikibu nikki diaries of court ladies of old japan tr by annie shepley omori and kochi doi|1935	English	Izumi Shikibu nikki: Diaries of court ladies of old Japan. T
jancigny dubois de|japon indo chine empire birman siam annam peninsule malaise ceylan|1850	French	Japon, Indo-Chine, Empire Birman, Siam, Annam, Péninsule Mal
japan burma association|industrial review of nippon|1938	English	Industrial review of Nippon.
japan burma association|industrial review of nippon|1940	English	Industrial review of Nippon.
japan laws statutes etc|code de procedure penale|1892	French	Code de procédure pénale.
japan laws statutes etc|commercial code tr into english by ludwig lonholm|1898	English	Commercial code. Tr. into English by Ludwig Lönholm.
japan laws statutes etc|japanese commercial law containing the law of bankruptcy of partnerships and companies and of bills of exchange notes and checks tr by l lonholm|1865	English	Japanese commercial law; containing the law of bankruptcy of
japan laws statutes etc|japanese commercial law containing the law of bankruptcy of partnerships and companies and of bills of exchange notes and checks tr by l lonholm|1895	English	Japanese commercial law; containing the law of bankruptcy of
japan laws statutes etc|law concerning the registration of immovables and ordinances and rules relating thereto tr by dr l h lonholm|1899	English	Law concerning the registration of immovables and ordinances
japan laws statutes etc|law concerning the registration of immovables and ordinances and rules relating thereto tr by dr l h lonholm|1911	English	Law concerning the registration of immovables and ordinances
japan laws statutes etc|loi organique des tribunaux|1892	French	Loi organique des tribunaux.
japan laws statutes etc|new japanese laws supplementary to the codes with an appendix containing a glossary of commercial terms tr by ludwig lonholm|1898	English	New Japanese laws; supplementary to the codes. With an appen
japan laws statutes etc|novyi iaponskii vosnyi tarif na russkom iazyke perevod s iaponskago s sasaki|1911	Russian	Novyi iaponskii vosnyi tarif na russkom iazyke. Perevod s ia
japan laws statutes etc|the civil code of japan tr by ludwig lonholm|1898	English	The civil code of Japan. Tr. by Ludwig Lönholm.
japan laws statutes etc|the civil code of japan tr by ludwig lonholm|1903	English	The civil code of Japan. Tr. by Ludwig Lönholm.
japan laws statutes etc|the civil code of japan tr by ludwig lonholm|1906	English	The civil code of Japan. Tr. by Ludwig Lönholm.
japan laws statutes etc|the civil code tr by dr ludwig lonholm|1898	English	The civil code. Tr. by Dr. Ludwig Lönholm.
japan laws statutes etc|the commercial code of japan and the law concerning its operation tr by ludwig lonholm|1898	English	The commercial code of Japan and the law concerning its oper
japan laws statutes etc|the commercial code of japan and the law concerning its operation tr by ludwig lonholm|1899	English	The commercial code of Japan and the law concerning its oper
japan laws statutes etc|the commercial code of japan and the law concerning its operation tr by ludwig lonholm|1901	English	The commercial code of Japan and the law concerning its oper
japan laws statutes etc|the commercial code of japan and the law concerning its operation tr by ludwig lonholm|1911	English	The commercial code of Japan and the law concerning its oper
japan laws statutes etc|the commercial code of japan and the law concerning its operation tr by ludwig lonholm|n d	English	The commercial code of Japan and the law concerning its oper
japan laws statutes etc|the companies act and the act relating to private companies or yugen kaisha with the general provisions and enforcement regulations of the commercial code of japan comp and tr by shinichi hirabayashi|1941	English	The companies act and the act relating to private companies 
japan laws statutes etc|the new criminal code of japan tr by l h lonholm|1907	English	The new criminal code of Japan. Tr. by L. H. Lönholm.
japan laws statutes etc|the new japanese laws concerning patents trade marks designs and utility models tr by l h lonholm|1910	English	The new Japanese laws concerning patents, trade marks, desig
japan laws statutes etc|the revised custom import tariff of japan comp and tr by iwai mototaro|1903	English	The revised custom import tariff of Japan. Comp. and tr. by 
japan photo service|four japanese painters taikan yokoyama gyokudo kawai shoen uemura and kiyokata kaburagi with reproductions and remarks by the artists photos by ihee kimura|1939	English	Four Japanese painters: Taikan Yokoyama, Gyokudo Kawai, Shoe
japanisch deutsches kultur institut|japanisch deutscher geistesaustausch heft 1 4|1928 1932	German	Japanisch-deutscher Geistesaustausch. Heft. 1-4.
japanisch osterreichische gesellschaft nichi oh kyokai|jahresbericht fur 1936 37|1937	German	Jahresbericht für 1936-37.
jippensha ikku|hizakurige tokaido circuit tr by thomas satchell|1929	English	Hizakurigé (Tokàido circuit). Tr. by Thomas Satchell.
joly h l and inada hogitaro|the sword book in honcho gungiko of arai hakuseki and the book of same ko hi sei gi of inaba tsurio|1913	English	The Sword Book in Honchō Gungikō of Arai Hakuseki and the Bo
jonas f m|netsuke|1928	French	Netsuké.
kadore pierre de|nipponeries d ete|1922	French	Nipponeries d'été.
kaigun heigakko|tables kokai hyo|1892	French	Tables Kôkai-hyô.
kaji ryuichi|le japon comment s est formee sa civilisation moderne|1939	French	Le Japon. Comment s'est formee sa civilisation moderne.
kamo chomei|hojoki di kamo no chomei traduz intr e note por marcello muccioli|1929	Italian	Hojoki di Kamo-no-Chomei. Traduz. intr. e note por Marcello 
kamo chomei|hojoki notes from a ten feet square hut tr by f victor dickins|1907	English	Hôjôki, notes from a ten-feet square hut. Tr. by F. Victor D
kamo chomei|hojoki notes from a ten feet square hut tr by f victor dickins|1921	English	Hôjôki, notes from a ten-feet square hut. Tr. by F. Victor D
kamo chomei|hojoki notes from a ten feet square hut tr by f victor dickins|1933	English	Hôjôki, notes from a ten-feet square hut. Tr. by F. Victor D
kaye michael|the mousme a japanese romance by michael kaye and eade montefiore|1912	English	The Mousmé. A Japanese romance, by Michael Kaye and Eade Mon
keller paul|japan berichte an die nzz|1935	German	Japan: Berichte an die NZZ.
kellermann bernhard|ein spaziergang in japan|1910	German	Ein Spaziergang in Japan.
kellermann bernhard|ein spaziergang in japan|1920	German	Ein Spaziergang in Japan.
kitabatake chikafusa|zinno sjootoo ki la historio de la japana imperiestra trono fondita pratempe en la dia epoko kaj laulege heredata gis nuntempe de la posteularo de la fondinto tr by k nohara|1941	Esperanto	Zinno-sjootoo-ki; la historio de la japana imperiestra trono
knobel fridolin marinus|uit zonneland|1909	Dutch	Uit Zonneland.
kobe university of commerce|annual bulletin of the financial and economic statistics of nippon|1913 23	English	Annual Bulletin of the Financial and Economic Statistics of 
kobelt w|fauna molluscorum extramarinorum japoniae|1879	German	Fauna molluscorum extramarinorum Japoniae.
kokin waka shu|introduction au kokinshu tr par georges bonneau|1933	French	Introduction au Kokinshu. Tr. par Georges Bonneau.
kokusai bunka shinkokai|anuario de las actividades de la kokusai bunka shinkokai desde abril de 1935 a marzo de 1936|1936	Spanish	Anuario de las actividades de la Kokusai Bunka Shinkokai des
